JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460079.733270,9.553,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.074,Z,17.459,16.722,,PNV J17224490-4137160,VVS,STD,,,,
2460079.733495,11.315,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.074,Z,16.370,15.748,,PNV J17224490-4137160,VVS,STD,,,,
2460079.733709,11.881,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.074,Z,16.754,16.392,,PNV J17224490-4137160,VVS,STD,,,,
2460079.733883,9.561,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.074,Z,17.459,16.713,,PNV J17224490-4137160,VVS,STD,,,,
2460079.734109,11.305,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.073,Z,16.378,15.752,,PNV J17224490-4137160,VVS,STD,,,,
2460079.734323,11.866,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.073,Z,16.766,16.401,,PNV J17224490-4137160,VVS,STD,,,,
2460079.734508,9.557,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.073,Z,17.463,16.727,,PNV J17224490-4137160,VVS,STD,,,,
2460079.734745,11.295,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.073,Z,16.387,15.762,,PNV J17224490-4137160,VVS,STD,,,,
2460079.734959,11.873,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.073,Z,16.756,16.393,,PNV J17224490-4137160,VVS,STD,,,,
2460079.735133,9.555,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.072,Z,17.472,16.745,,PNV J17224490-4137160,VVS,STD,,,,
