JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457697.46875,8.3,,,Vis.,GLG,,7.9,8.6,X16838KB,12x63 binocs on tripod,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457697.47917,8.2,,,Vis.,WWK,B,7.9,8.6,X16833D,"6"" f/5 Newt.",,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457697.49306,8.5,,,Vis.,ZXIA,BL,86,91,X16907FB,8 inch Dob,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457698.4340,8.5,,,Vis.,AAX,,85,86,X16815EF,,,,Z,,,,TCP J18102829-2729590,NEOA-JBS,STD,,,,
2457698.46736,8.8,,,Vis.,GLG,,8.6,9.1,X16838KB,25x100 binocs on tripod,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457698.47917,8.4,,,Vis.,FFAD,,86,,X16871AOL,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457698.4792,9.10,,,Vis.,BZX,,9.1,9.6,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457698.48056,8.3,,,Vis.,ACN,BUK,790,860,X16815DM,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457698.90060,8.707,0.004,,V,BHQ,,100,91,X16832BAY,,1,1.966,Z,-8.524,-9.481,,TCP J18102829-2729590,VSS,STD,,,,
2457698.90287,9.198,0.004,,B,BHQ,,100,91,X16832BAY,,1,2.006,Z,-7.708,-9.126,,TCP J18102829-2729590,VSS,STD,,,,
2457698.94375,8.5,,,Vis.,SANG,U,7.9,8.6,x16891pi,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
